stage,star,locregion,locresource,name,g11,g12,g13,g14,g21,g22,g23,g24,g31,g32,g33,g34,g41,g42,g43,g44,f11,f12,f13,f14,f21,f22,f23,f24,f31,f32,f33,f34,f41,f42,f43,f44,reward,bonus

"1","xxCARDxxCARD","xxEMPIRE","xxTECHNOLOGY","Tinkering","YSxxFSQUAREYS","WWxxFSQUAREWW","WExxFSQUAREWE","","","WWxxFSQUAREWW","","","","","","","","","","","","xxEMPIRE","","","","xxSETTLED","","","","","","","","","","","OOxxTECHNOLOGYOO","xxESPIONAGE",
"1","xxCARDxxCARD","xxSETTLED","xxTECHNOLOGY","Flora, Fauna, and Fiends","WSxxFSQUAREWS","WWxxFSQUAREWW","","","","BBxxFSQUAREBB","WExxFSQUAREWE","","","","","","","","","","","xxWSIX","","","","","","","","","","","","","","","OOxxTECHNOLOGYOO","xxSORCERY",
"1","xxCARDxxCARD","xxEMPIRE","xxESPIONAGE","Thieves Tools","WSxxFSQUAREWS","WWxxFSQUAREWW","","","","WWxxFSQUAREWW","WWxxFSQUAREWW","","","","OExxFSQUAREOE","","","","","","","xxEMPIRE","","","","xxREDBANK","xxEMPIRE","","","","","","","","","","MMxxESPIONAGEMM","xxESPIONAGE",
"1","xxCARDxxCARD","xxEMPIRE","xxMILITARY","Out in the Cold","WSxxFSQUAREWS","","","","WWxxFSQUAREWW","WWxxFSQUAREWW","","","WExxFSQUAREWE","","","","","","","","xxEMPIRE","","","","xxWONE","xxWTWO","","","","","","","","","","","MMxxESPIONAGEMM","xxDIPLOMACY",
"1","xxCARDxxCARD","xxSETTLED","xxSORCERY","Cantrips","WSxxFSQUAREWS","WWxxFSQUAREWW","","","","WWxxFSQUAREWW","WWxxFSQUAREWW","","","","WExxFSQUAREWE","","","","","","xxREDBANK","","","","","xxSETTLED","","","","","xxREDBANK","","","","","","BLxxSORCERYBL","xxSTABILITY",
"1","xxCARDxxCARD","xxREDBANK","xxSORCERY","Thedda's Palimpsest","BSxxFSQUAREBS","WWxxFSQUAREWW","","","","WWxxFSQUAREWW","WWxxFSQUAREWW","","","","WExxFSQUAREWE","","","","","","","xxSETTLED","","","","xxWSIX","xxSETTLED","","","","","","","","",""," BLxxSORCERYBL","xxSORCERY",
"1","xxCARDxxCARD","xxSETTLED","xxDIPLOMACY","Grand Tour","GSxxFSQUAREGS","WWxxFSQUAREWW","","","","BBxxFSQUAREBB","WWxxFSQUAREWW","","","","WExxFSQUAREWE","","","","","","","","","","","","","","","","","","","","","","LLxxDIPLOMACYLL","xxSTABILITY",
"1","xxCARDxxCARD","xxSETTLED","xxDIPLOMACY","Small Steps","","WSxxFSQUAREWS","","","WWxxFSQUAREWW","","WWxxFSQUAREWW","","","WExxFSQUAREWE","","","","","","","","","","","+1","","-1","","","=","","","","","","","LLxxDIPLOMACYLL","xxTECHNOLOGY",
"1","xxCARDxxCARD","xxEMPIRE","xxESPIONAGE","Warmachine","MSxxFSQUAREMS","","","","WWxxFSQUAREWW","WWxxFSQUAREWW","","","WExxFSQUAREWE","","","","","","","","","","","","xxEMPIRE","xxREDBANK","","","","","","","","","","","GGxxMILITARYGG","xxMILITARY",
"1","xxCARDxxCARD","xxEMPIRE","xxMILITARY","Tactical Plans","WSxxFSQUAREWS","WWxxFSQUAREWW","","","","WWxxFSQUAREWW","WWxxFSQUAREWW","","","","WExxFSQUAREWE","","","","","","","xxEMPIRE","","","","xxWFIVE","xxREDBANK","","","","","","","","","","GGxxMILITARYGG","xxDIPLOMACY",
