mission,title,tags,text,rsummary,blocka,blockb,blockc,blockd,blocke

"Threat","Moonrider Outpost","Wilderness, Diplomacy","Raiders have begun fighting over disputed grain fields.","xxFIRE","xxACTION Spend 3 xxORE and Test (Rapport 5). If passed, burn threat, and gain 2 xxFOOD dice.","xxFIRE Spend 3 xxFOOD or lower Sunrider disposition by one."
"Threat","Silk Roads","Wilderness, Conquest","If you aren't building relationships - you will be left behind.","xxSUN","xxACTION Spend 11 xxTIMBER, burn threat, and gain 2 xxFOOD dice.","xxSUN Lose one xxLUXURY die."
"Threat","Amber Hand","Wilderness, Stability","The pact with Red Bank has not been forgotten by the Amber Hand.","xxFORCEFUL","xxACTION Test (Command 5). If passed, burn threat and move characters to a spotlight location. If failed, gain 2 xxDISCORD.","xxFORCEFUL If there is more than one usable spotlight location, flip a spotlight location card. Location is unusuable for remainder of the season."

"Starting Location","Trade Agreement","Spotlight, Red Bank",,,"xxACTION Spend two resource dice to initiate trade with a faction. Gain a number of new resource dice equal to the disposition of the faction. Dice gained and spent should match trade wheel for faction."
"Starting Location","Development Research","Spotlight, Red Bank",,,"xxACTION Purchase one available development. Add development to asset discard pile."
"Starting Location","Amber Lodge","Spotlight, Red Bank, Urban",,,"xxACTION Spend 1 xxFORTUNE to look at the top asset card on either draw pile. Return the card to the top when finished."
"Starting Location","Tactical Planning","Spotlight, Red Bank",,,"xxACTION Spend 3 xxFORTUNE to take an asset from your discard pile into your hand."
"Starting Location","Resource Gathering","Spotlight, Red Bank",,,"xxACTION Test (Resource Track). Use value of resource track for test. For each success, gain one resource die of that type."

"The Necromancer of North Oaks","Gray River","Red Bank, Wilderness","The Gray River rolls through the shade of the dense elms, carrying dark earth from deeper within the forest.",,"xxACTION Gain 2 xxTIMBER dice."
"The Necromancer of North Oaks","Mirror Woods","Red Bank, Conquest","The source of magical power in the area.",,"For each progress token on this location, characters at North Oaks locations get +1 to tests against foes.","xxACTION Spend 4 xxMANA and become weary to add one progress to this location."
"The Necromancer of North Oaks","Outer Fernbrake","Red Bank, Conquest","Simple folk banded together in the shadow of darkness.","xxICE","xxICE If there any Restless Dead here, gain one xxAPOTHEOSIS."
"The Necromancer of North Oaks","Musty Tomb","Red Bank, Dungeon, Sorcery","A place hiding the oldest secrets.","xxMOON","xxACTION Take 2 xxDISCORD to move any number of Restless Dead to this location.","xxMOON One character at this location is shaken."

"Doom Under Sightrock","Lush Fields","Spotlight, Red Bank, Wilderness",,,"xxACTION Spend 4 xxFORTUNE to gain one xxFOOD die."
"Doom Under Sightrock","Salmon Run","Red Bank, Wilderness",,"xxFORCEFUL","xxACTION Task (Survival).","xxCIRCLE Spend 13 progress to raise xxFOOD track by one.","xxFORCEFUL One character at this location is weary."
"Doom Under Sightrock","The Weird Rock","Red Bank, Dungeon, Sorcery",,"xxMOON","Effect: All characters at this location have +1 Lore.","xxMOON One character at this location is shaken."

"The Sunriders","Hogel Manor","Urban, Military",,"xxSUN","xxSUN Gain 1 xxDISCORD for each issue in play at this location."
"The Sunriders","Horsethief Meadows","Wilderness",,,"xxACTION Gain an amount of xxFOOD dice equal to the military development level."
"The Sunriders","Song Bluff","Wilderness, Military",,"xxQUICK","xxQUICK Gain xxDISCORD equal to the current level of freedom."
"The Sunriders","Spirit Lake","Wilderness",,,"xxACTION Spend 2 xxMANA to discard any issue in play at a Sunriders location."

"Gravewood","Maplewood","Wilderness, Sorcery",,,"xxACTION Gain one xxTIMBER."
"Gravewood","Spinner Lakes","Wilderness, Conquest",,,"xxACTION Spend 8 xxLUXURY to gain one xxSECRETS."
"Gravewood","Green Haven","Spotlight, Stability",,"xxFIRE","Effect: All characters increase their Thievery by Gravewood disposition while at least one character is at this location.","xxFIRE One character at this location is angry."
"Gravewood","First Haven","Espionage",,,"xxACTION Spend 3 xxLUXURY to discard one threat."

"Into the Cold","The Rosy Freetrader","Imperial, Urban","A popular meeting place for both the poor and wealthy of Eastkeep.",,"xxACTION Move one Graycloak to the Rosy Freetrader."
"Into the Cold","Map Hall","Imperial, Urban","Somewhere amongst the piles of maps and ledgers are useful Imperial plans.","xxQUICK","xxACTION Spend one xxSECRETS to gain two dice of any one resource.","xxQUICK One character at this location is weary."
"Into the Cold","House of Cloves","Imperial, Urban","Through rings of smoke move cloaked figures willing to provide all manner of things for the right price.","xxICE","Effect: All characters at this location have +1 Disguise.","xxICE One character at this location is angry."
"Into the Cold","Guild of Secrets","Imperial","If there is a nexus of evil in Eastkeep, it is most certainly the guild of secrets.",,"All obstacles at this location have +2 xxDISCORD."

"Sowing Rebellion","Dowling Farm","Imperial, Conquest","Nexus of Imperial discontent.",,"xxACTION Spend 5 xxLUXURY to gain one xxSECRETS."
"Sowing Rebellion","The Salty Freetrader","Imperial","Where everybody - every single body - knows your name.","xxQUICK","xxQUICK One character at this location is weary."
"Sowing Rebellion","Whitehold","Imperial, Urban, Military","Graycloak headquarters in the breadbasket of the Empire.",,"All guards (obstacles) at this location have +1 xxDISCORD."
"Sowing Rebellion","Under Whitehold","Imperial, Espionage","The caverns below Whitehold have both riches and traps.","xxFIRE","xxACTION Take two xxDISCORD to gain one xxLUXURY die.","xxFIRE One character at this location is wounded."

"Tragedy and Conspiracy","Sparrow Keep","Espionage","How is it that a nexus of such evil activity was allowed to grow so large?","xxFORCEFUL","xxFORCEFUL One character at this location is wounded."
"Tragedy and Conspiracy","Outer Fernbrake","Red Bank","The people of Outer Fernbrake are growing to distrust Thea's leadership.","xxICE","xxICE Gain one xxDISCORD for each xxTHREAT in the threat draw pile."
"Tragedy and Conspiracy","House of Cloves","Red Bank, Urban","Swirls of intoxicating smoke tie together the deals and favors with an ephemeral bond.",,"Spend 6 xxFORTUNE to gain two xxMANA dice."
"Tragedy and Conspiracy","Graywash Spring","Red Bank","The river out of North Oaks winds its way through the community of close knit cottages.",,"xxACTION Gain a number of xxFOOD dice equal to security."

"Whispers at Lily Manor","Goldspike","Urban","Who knows what future badness brings but the keeper of secrets in a chamber of gold?",,"xxACTION Draw a threat."
"Whispers at Lily Manor","Hall of Brass","Urban","Zarrah greets all newcomers in the great hall of world renown.","xxQUICK","xxQUICK One character at this location is weary."
"Whispers at Lily Manor","Beetle Burrough","Urban","You look like someone who wants to know a secret?",,"xxACTION Spend 5 xxLUXURY to gain one xxSECRETS."
"Whispers at Lily Manor","Wrenhouse","Urban","Both regret and conviction in equal measure.",,"Gain 2 xxDISCORD to gain one xxLUXURY die."
