mission,deck,ctriggers,title,tags,text,lsummary,csummary,rsummary,blocka,blockb,blockc,blockd,blocke

"Threat","Year One",,"Moonrider Outpost","Threat: Diplomacy","Raiders have begun fighting over disputed grain fields.",,,"xxWATER","When threat comes into play, add progress counters equal to Diplomacy.","xxACTION Brokering Peace. Test (Rapport 4). If passed, add one progress counter.","xxWATER Raid. Remove one progress counter from this threat. If there are none to remove, spend 3 xxFOOD or lose 1 xxSTABILITY.","xxCIRCLE After mission, burn threat if it has any progress counters."
"Threat","Year One",,"Silk Roads","Threat: Technology","If you aren't building relationships - you will be left behind.",,,"xxFIRE","When threat comes into play, add progress counters equal to Technology.","xxACTION Construction. Spend 9 xxTIMBER to add one progress counter.","xxFIRE Levy. Remove one progress counter from this threat. If there are none to remove, lose 1 xxLUXURY die.","xxCIRCLE After mission, burn threat if it has any progress counters."

"The Necromancer of North Oaks","Initial","xxSTARTING","The Necromancer","Obstacle: Foe","A cloaked figure hangs above the ground, limp and lifeless, but the power exuding from it tells you that it is not all that it seems. ","xxDEFENSE / 1 xxPSYCHE",,"xxAIR xxBUST","Attach to Undari's Tomb","xxACTION Circle of Banishing. May take this action only if there are no Restless Dead at this location. Test (Lore 4). If passed, burn card.","xxAIR Enervation Spell. One character at a North Oaks location takes 2 xxBODY.","xxBUST Summoning Circle. If possible, find and play a Restless Dead card from the encounter deck before reshuffling."
"The Necromancer of North Oaks","Initial","xxSTARTING","Restless Dead","Obstacle: Foe","A mere shadow of a human, walking like a marionette yanked on strings.","xxDEFENSE / 1 xxBODY",,"xxEARTH xxWATER xxFIRE","Attach to Undari's Tomb.","xxACTION Battle the Undead. Test (Combat). For every two successes, burn one Restless Dead at this location.","xxEARTH The Hunger. Move one location right.","xxWATER Lose 1 xxPROGRESS at this location.","xxFIRE Take 1 xxDISCORD."
"The Necromancer of North Oaks","Initial","xxSTARTING","Restless Dead","Obstacle: Foe","A mere shadow of a human, walking like a marionette yanked on strings.","xxDEFENSE / 1 xxBODY",,"xxEARTH xxWATER xxFIRE","Attach to Mirror Woods.","xxACTION Battle the Undead. Test (Combat). For every two successes, burn one Restless Dead at this location.","xxEARTH The Hunger. Move one location right.","xxWATER Lose 1 xxPROGRESS at this location.","xxFIRE Take 1 xxDISCORD."

"The Necromancer of North Oaks","Encounter","xxTIMER xxEARTH","Restless Dead","Obstacle: Foe","Dead, grey eyes stare back at you, liveliness long gone and replaced with a blank stare.","xxDEFENSE / 1 xxBODY",,"xxEARTH xxWATER xxFIRE","xxACTION Battle the Undead. Test (Combat). For every two successes, burn one Restless Dead at this location.","xxEARTH The Hunger. Move one location right.","xxWATER Lose 1 xxPROGRESS at this location.","xxFIRE Take 1 xxDISCORD."
"The Necromancer of North Oaks","Encounter","xxTIMER xxEARTH","Restless Dead","Obstacle: Foe","The soulless husk limping towards you reeks of rotting flesh.","xxDEFENSE / 1 xxBODY",,"xxEARTH xxWATER xxFIRE","xxACTION Battle the Undead. Test (Combat). For every two successes, burn one Restless Dead at this location.","xxEARTH The Hunger. Move one location right.","xxWATER Lose 1 xxPROGRESS at this location.","xxFIRE Take 1 xxDISCORD."
"The Necromancer of North Oaks","Encounter","xxTIMER xxEARTH","Restless Dead","Obstacle: Foe","The creature's face is sagging to one side, like wax placed in a flame, their features beyond recognition. The very image of them sends shivers down your spine.","xxDEFENSE / 1 xxBODY",,"xxEARTH xxWATER xxFIRE","xxACTION Battle the Undead. Test (Combat). For every two successes, burn one Restless Dead at this location.","xxEARTH The Hunger. Move one location right.","xxWATER Lose 1 xxPROGRESS at this location.","xxFIRE Take 1 xxDISCORD."
"The Necromancer of North Oaks","Encounter","xxTIMER xxEARTH","Restless Dead","Obstacle: Foe","The creature groans, the sound of bare bone scraping painfully against the earth echoing in your ears.","xxDEFENSE / 1 xxBODY",,"xxEARTH xxWATER xxFIRE","xxACTION Battle the Undead. Test (Combat). For every two successes, burn one Restless Dead at this location.","xxEARTH The Hunger. Move one location right.","xxWATER Lose 1 xxPROGRESS at this location.","xxFIRE Take 1 xxDISCORD."
"The Necromancer of North Oaks","Encounter","xxTIMER xxWATER","Restless Dead","Obstacle: Foe","Clearly victims of a terrible pox, come back to share their misery.","xxDEFENSE / 1 xxBODY",,"xxEARTH xxWATER xxFIRE","xxACTION Battle the Undead. Test (Combat). For every two successes, burn one Restless Dead at this location.","xxEARTH The Hunger. Move one location right.","xxWATER Lose 1 xxPROGRESS at this location.","xxFIRE Take 1 xxDISCORD."
"The Necromancer of North Oaks","Encounter","xxTIMER xxWATER","See it for Myself","Obstacle: Motivation","Menas scouts the northern wilds looking for signs of the Empire.","xxDEFENSE / 1 xxBODY",,"xxAIR xxWATER","xxACTION Signs of Sorcerous Danger. Spend 5 xxPROGRESS and make Menas weary. Then improve Menas's Motivation and burn this card.","xxAIR Veteran of the Old War. If Menas is at a North Oaks location, gain 2 xxPROGRESS.","xxWATER Take 1 xxDISCORD."
"The Necromancer of North Oaks","Encounter","xxTIMER xxWATER","Grueling Wilds","Obstacle: Environment","The weather in North Oaks is wild and unpredictable.","xxDEFENSE / 1 xxBODY",,"xxFIRE","xxACTION Risky Shelter. Test (Survival 2). If passed, burn card.","xxFIRE Extreme Fatigue. Spend 1 xxFOOD or one character at a North Oaks location is weary."
"The Necromancer of North Oaks","Encounter","xxTIMER xxAIR","The Standing Stone","Event: Boon, Risk","Scribbled on a stone are what appear to be coded Imperial messages. Who from Red Bank is sending these messages?",,,,"Gain xxPROGRESS equal to xxRISK and burn card."
"The Necromancer of North Oaks","Encounter","xxTIMER xxAIR","The Last Necromancer","Event: Bane, Risk","There are signs that the Necromancer of North Oaks was not alone. But was he master... or servant?",,,,"Take xxBODY equal to xxRISK and burn card."
"The Necromancer of North Oaks","Encounter","xxTIMER xxFIRE","Wandering Sprite","Event: Boon, Risk","Out of the mists, a shimmering figure appears, no bigger than a toad.",,,,"Gain xxMANA dice equal to xxRISK and burn card."

"The Necromancer of North Oaks","Encounter","xxEARTH","Dense Forest","Event: Boon","The woods around North Oaks are dense and full of usable timber.",,,,"Gain one xxTIMBER die."
"The Necromancer of North Oaks","Encounter","xxEARTH","Dense Forest","Event: Boon","The woods around North Oaks are dense and full of usable timber.",,,,"Gain one xxTIMBER die."
"The Necromancer of North Oaks","Encounter","xxEARTH","Dense Forest","Event: Boon","The woods around North Oaks are dense and full of usable timber.",,,,"Gain one xxTIMBER die."
"The Necromancer of North Oaks","Encounter","xxEARTH","Abandoned Mine","Event: Boon","Scattered mines from old Amber Hand outposts can still be found in the forest.",,,,"Gain 1 xxORE die."
"The Necromancer of North Oaks","Encounter","xxWATER","Sudden Storm","Event: Bane","Stop whining and keep moving! You want to freeze to death?",,,,"Take 2 xxDISCORD."
"The Necromancer of North Oaks","Encounter","xxWATER","A Failed Defense","Event: Bane, Risk","The casualties of a long forgotten war echo their pain and anger into the forest.",,,,"Take xxBODY equal to xxRISK."
"The Necromancer of North Oaks","Encounter","xxWATER","Eldritch Energy","Event: Test","Ripples of magic ebb out from some chaotic source deeper within the forest.",,,,"Test (Lore 2). If passed, gain 2 xxPROGRESS. Otherwise, take 1 xxDISCORD."
"The Necromancer of North Oaks","Encounter","xxAIR","Forest Boar","Event: Test","Hey Keel, could you peek your head in there and see if it's empty?",,,,"Test (Combat 2). If passed, gain 1 xxPROGRESS. Otherwise, one character taking the test is weary."
"The Necromancer of North Oaks","Encounter","xxAIR","Rocky Terrain","Event: Test","I know! But your footing doesn't look so good!",,,,"Test (Survival 2). If you pass, gain 2 xxPROGRESS. Otherwise, take 2 xxBODY."
"The Necromancer of North Oaks","Encounter","xxFIRE","Radiant Fernbrake","Event: Test, Risk","The pale red plant has a vast number of uses. However, it is very difficult to harvest correctly.",,,,"Test (Command xxRISK). If passed, gain 1 xxLUXURY die. Otherwise, take 1 xxBODY."

"Sunriders","Initial","xxSTARTING","Ile","Obstacle: Diplomat","Ile is best equipped to see through the veil of sorcery. She harbors anger from being separated from her people, the Moonriders.","xxDEFENSE / 2 xxPSYCHE",,"xxWATER xxEARTH","Attach to Horsethief Meadows.","xxACTION Ending Ile's Curse. Test (Lore 2). If passed, burn card.","xxWATER Ile's Gift. Gain 1 xxMANA die.","xxEARTH Take 2 xxDISCORD."
"Sunriders","Initial","xxSTARTING","Past Deals","Obstacle: Issue","Ask yourself, aren't you also responsible for how bad things have become?","xxDEFENSE / 1 xxPSYCHE",,"xxEARTH xxAIR","Attach to Hogel Manor.","xxACTION Look Toward the Future. Test (Command 3). If passed, burn card.","xxEARTH Lose 1 xxPROGRESS at this location.","xxAIR Take 1 xxDISCORD."
"Sunriders","Initial","xxSTARTING","Family Honor","Obstacle: Issue","What is your great society if it doesn't value families?","xxDEFENSE / 1 xxPSYCHE",,"xxEARTH xxAIR","Attach to Hogel Manor.","xxACTION Build Bridges. Test (Rapport 3). If passed, burn card.","xxEARTH Lose 1 xxPROGRESS at this location.","xxAIR Take 1 xxDISCORD."

"Sunriders","Encounter","xxTIMER xxAIR","Dashen","Obstacle: Diplomat","The young swordsman displays his worth to Arban by testing what the diplomats from Red Bank know of horse lore.","xxDEFENSE / 1 xxBODY",,"xxAIR xxWATER","xxACTION Test (Command 3). If passed, burn card.","xxAIR Lose 1 xxPROGRESS at this location.","xxWATER Take 1 xxDISCORD."
"Sunriders","Encounter","xxTIMER xxAIR","Hogel","Obstacle: Diplomat","Hah! You think Arban rules the Sunriders? But who has the will of the people?","xxDEFENSE / 2 xxPSYCHE",,"xxAIR xxFIRE","xxACTION Test (Rapport 3). If passed, burn card.","xxAIR Lose 2 xxPROGRESS at this location.","xxFIRE Take 2 xxDISCORD."
"Sunriders","Encounter","xxTIMER xxAIR","Border Raids","Obstacle: Issue","The Moonriders continue to attack us from the east.","xxDEFENSE / 1 xxPSYCHE",,"xxEARTH xxAIR","xxACTION Test (Tactics 3). If passed, burn card.","xxEARTH Lose 1 xxPROGRESS at this location.","xxAIR Take 1 xxDISCORD."
"Sunriders","Encounter","xxTIMER xxAIR","Depleted Mana","Obstacle: Issue","The lake has been too hungry to think about much else.","xxDEFENSE / 1 xxPSYCHE",,"xxEARTH xxAIR","xxACTION Test (Lore 3). If passed, burn card.","xxEARTH Lose 1 xxPROGRESS at this location.","xxAIR Take 1 xxDISCORD."
